Instance_Number,Relaxation_Bound,Solution_Time,Best_Objective_Value,Best_Lower_Bound,Duality_Gap,Solution_Status
1,-19082.0,0.003823995590209961,-19082.000000000007,-19082.000000000007,0.0,OPTIMAL
2,-19185.0,0.0024368762969970703,-19185.000000000007,-19185.000000000007,0.0,OPTIMAL
3,-18995.0,0.0024230480194091797,-18995.000000000007,-18995.000000000007,0.0,OPTIMAL
4,-21358.5,0.0023288726806640625,-21358.500000000007,-21358.500000000007,0.0,OPTIMAL
5,-19685.5,0.0027627944946289062,-19685.500000000007,-19685.500000000007,0.0,OPTIMAL
6,-19933.0,0.0036530494689941406,-19933.000000000007,-19933.000000000007,0.0,OPTIMAL
7,-19409.5,0.0030841827392578125,-19409.500000000007,-19409.500000000007,0.0,OPTIMAL
8,-20882.5,0.002257108688354492,-20882.500000000004,-20882.500000000004,0.0,OPTIMAL
9,-17742.0,0.0023310184478759766,-17742.000000000007,-17742.000000000007,0.0,OPTIMAL
10,-18022.0,0.003359079360961914,-18022.000000000007,-18022.000000000007,0.0,OPTIMAL
11,-21140.5,0.0023469924926757812,-21140.500000000004,-21140.500000000004,0.0,OPTIMAL
12,-21482.0,0.002527952194213867,-21482.000000000007,-21482.000000000007,0.0,OPTIMAL
13,-17460.0,0.0026078224182128906,-17460.000000000007,-17460.000000000007,0.0,OPTIMAL
14,-19961.5,0.0031609535217285156,-19961.500000000007,-19961.500000000007,0.0,OPTIMAL
15,-19689.0,0.002298116683959961,-19689.000000000007,-19689.000000000007,0.0,OPTIMAL
16,-18340.0,0.002259969711303711,-18340.000000000007,-18340.000000000007,0.0,OPTIMAL
17,-17663.5,0.003567934036254883,-17663.500000000007,-17663.500000000007,0.0,OPTIMAL
18,-17057.0,0.002315044403076172,-17057.000000000007,-17057.000000000007,0.0,OPTIMAL
19,-18739.0,0.0022208690643310547,-18739.000000000007,-18739.000000000007,0.0,OPTIMAL
20,-18761.5,0.003665924072265625,-18761.500000000007,-18761.500000000007,0.0,OPTIMAL
21,-18625.0,0.0024089813232421875,-18625.000000000007,-18625.000000000007,0.0,OPTIMAL
22,-19685.5,0.002373933792114258,-19685.500000000007,-19685.500000000007,0.0,OPTIMAL
23,-19615.5,0.002802133560180664,-19615.500000000007,-19615.500000000007,0.0,OPTIMAL
24,-18842.0,0.003717184066772461,-18842.000000000007,-18842.000000000007,0.0,OPTIMAL
25,-17938.5,0.003371000289916992,-17938.500000000007,-17938.500000000007,0.0,OPTIMAL
26,-19456.5,0.002763032913208008,-19456.500000000007,-19456.500000000007,0.0,OPTIMAL
27,-19628.5,0.0030121803283691406,-19628.500000000007,-19628.500000000007,0.0,OPTIMAL
28,-17659.5,0.0022721290588378906,-17659.500000000007,-17659.500000000007,0.0,OPTIMAL
29,-17502.0,0.003309011459350586,-17502.000000000007,-17502.000000000007,0.0,OPTIMAL
30,-19900.0,0.002427816390991211,-19900.000000000007,-19900.000000000007,0.0,OPTIMAL
31,-18070.5,0.002412080764770508,-18070.500000000007,-18070.500000000007,0.0,OPTIMAL
32,-20031.5,0.0023980140686035156,-20031.500000000007,-20031.500000000007,0.0,OPTIMAL
33,-18802.5,0.0025911331176757812,-18802.500000000007,-18802.500000000007,0.0,OPTIMAL
34,-17530.5,0.0022890567779541016,-17530.500000000007,-17530.500000000007,0.0,OPTIMAL
35,-18694.5,0.0037069320678710938,-18694.500000000007,-18694.500000000007,0.0,OPTIMAL
36,-18789.0,0.00232696533203125,-18789.000000000004,-18789.000000000004,0.0,OPTIMAL
37,-19351.0,0.0023279190063476562,-19351.0,-19351.0,0.0,OPTIMAL
38,-20774.0,0.0023620128631591797,-20774.000000000004,-20774.000000000004,0.0,OPTIMAL
39,-19577.0,0.0022690296173095703,-19577.000000000007,-19577.000000000007,0.0,OPTIMAL
40,-19666.5,0.002376079559326172,-19666.500000000007,-19666.500000000007,0.0,OPTIMAL
41,-20782.0,0.003587961196899414,-20782.000000000004,-20782.000000000004,0.0,OPTIMAL
42,-19756.0,0.0026941299438476562,-19756.000000000007,-19756.000000000007,0.0,OPTIMAL
43,-19089.0,0.002212047576904297,-19089.000000000007,-19089.000000000007,0.0,OPTIMAL
44,-18452.5,0.002311229705810547,-18452.500000000007,-18452.500000000007,0.0,OPTIMAL
45,-19155.5,0.0023407936096191406,-19155.500000000007,-19155.500000000007,0.0,OPTIMAL
46,-18194.0,0.0023620128631591797,-18194.000000000007,-18194.000000000007,0.0,OPTIMAL
47,-17710.5,0.003459930419921875,-17710.500000000004,-17710.500000000004,0.0,OPTIMAL
48,-18600.5,0.003119945526123047,-18600.500000000007,-18600.500000000007,0.0,OPTIMAL
49,-19140.5,0.0026788711547851562,-19140.500000000007,-19140.500000000007,0.0,OPTIMAL
50,-18068.0,0.003448009490966797,-18068.000000000007,-18068.000000000007,0.0,OPTIMAL
51,-19882.0,0.0037381649017333984,-19882.000000000007,-19882.000000000007,0.0,OPTIMAL
52,-16733.0,0.0028150081634521484,-16733.000000000007,-16733.000000000007,0.0,OPTIMAL
53,-19862.0,0.003509044647216797,-19862.000000000007,-19862.000000000007,0.0,OPTIMAL
54,-17481.5,0.002532958984375,-17481.500000000007,-17481.500000000007,0.0,OPTIMAL
55,-21332.5,0.00255584716796875,-21332.500000000007,-21332.500000000007,0.0,OPTIMAL
56,-18499.0,0.002312183380126953,-18499.000000000007,-18499.000000000007,0.0,OPTIMAL
